,happs,rank,stdDev,word
0,5.1,6648,0.99,according
1,5.1,6649,1.58,administrative
2,5.1,6650,1.25,albert
3,5.1,6651,1.31,alleen
4,5.1,6652,1.3,allen
5,5.1,6653,0.84,ave
6,5.1,6654,0.91,average
7,5.1,6655,1.04,bases
8,5.1,6656,0.93,before
9,5.1,6657,1.11,bellwether
10,5.1,6658,1.42,betta
11,5.1,6659,0.65,between
12,5.1,6660,1.45,bryan
13,5.1,6661,1.25,bus
14,5.1,6662,1.85,butt
15,5.1,6663,1.34,ca
16,5.1,6664,1.4,careful
17,5.1,6665,1.46,carlos
18,5.1,6666,1.4,cells
19,5.1,6667,1.61,ceo
20,5.1,6668,1.25,circuit
21,5.1,6669,1.53,cliff
22,5.1,6670,1.09,commissioner
23,5.1,6671,1.8,consumption
24,5.1,6672,1.02,curtis
25,5.1,6673,1.13,davis
26,5.1,6674,1.25,dealt
27,5.1,6675,1.36,differential
28,5.1,6676,1.37,dr
29,5.1,6677,0.71,either
30,5.1,6678,0.79,et
31,5.1,6679,1.31,extent
32,5.1,6680,0.79,factor
33,5.1,6681,0.91,ff
34,5.1,6682,0.99,gary
35,5.1,6683,1.17,goldstein
36,5.1,6684,0.74,he's
37,5.1,6685,1.43,hou
38,5.1,6686,1.22,huntington
39,5.1,6687,1.17,ian
40,5.1,6688,1.3,investigate
41,5.1,6689,0.99,jb
42,5.1,6690,0.81,jon
43,5.1,6691,1.4,koch
44,5.1,6692,1.37,lists
45,5.1,6693,1.36,managers
46,5.1,6694,1.39,mans
47,5.1,6695,1.27,marc
48,5.1,6696,1.43,marks
49,5.1,6697,1.34,mata
50,5.1,6698,1.02,merger
51,5.1,6699,0.89,mich
52,5.1,6700,1.56,minneapolis
53,5.1,6701,2.03,mother-in-law
54,5.1,6702,1.46,nhl
55,5.1,6703,1.58,nick
56,5.1,6704,1.09,o'brien
57,5.1,6705,1.88,obey
58,5.1,6706,1.72,omg
59,5.1,6707,1.62,phat
60,5.1,6708,0.89,pin
61,5.1,6709,1.76,protestant
62,5.1,6710,0.65,puts
63,5.1,6711,1.02,quien
64,5.1,6712,1.46,replacement
65,5.1,6713,1.05,requests
66,5.1,6714,0.89,rev
67,5.1,6715,1.25,rogers
68,5.1,6716,1.33,routine
69,5.1,6717,1.53,sai
70,5.1,6718,1.11,schwartz
71,5.1,6719,1.47,smith
72,5.1,6720,2.13,smokin
73,5.1,6721,1.39,sobre
74,5.1,6722,0.97,sont
75,5.1,6723,1.13,stack
76,5.1,6724,1.59,steelers
77,5.1,6725,1.59,tablet
78,5.1,6726,0.89,thats
79,5.1,6727,0.71,there
80,5.1,6728,0.58,these
81,5.1,6729,1.25,toe
82,5.1,6730,1.49,tooo
83,5.1,6731,1.25,wayne
84,5.1,6732,1.98,welfare
85,5.1,6733,1.81,wolf
86,5.1,6734,1.37,youre
87,5.1,6735,1.05,youu
88,5.09,6736,1.47,specimen
89,5.08,6737,1.22,fait
90,5.08,6738,1.74,hump
91,5.08,6739,1.3,kg
92,5.08,6740,1.22,trace
93,5.08,6741,1.41,assuming
94,5.08,6742,1.53,dmc
95,5.08,6743,1.38,glue
96,5.08,6744,1.11,neutral
97,5.08,6745,1.37,provincial
98,5.08,6746,1.08,questa
99,5.08,6747,1.4,sempre
100,5.08,6748,1.08,unto
101,5.08,6749,1.58,whispered
102,5.08,6750,0.75,12th
103,5.08,6751,1.35,admitted
104,5.08,6752,0.97,after
105,5.08,6753,1.44,agent
106,5.08,6754,1.32,albany
107,5.08,6755,1.03,alfred
108,5.08,6756,1.14,amid
109,5.08,6757,0.99,az
110,5.08,6758,1.05,base
111,5.08,6759,1.19,berger
112,5.08,6760,1.55,booked
113,5.08,6761,0.9,bronxville
114,5.08,6762,1.78,budget
115,5.08,6763,1.37,buss
116,5.08,6764,1.08,c-included
117,5.08,6765,1.26,canaan
118,5.08,6766,1.29,ch
119,5.08,6767,1.35,commissioners
120,5.08,6768,1.07,copie
121,5.08,6769,1.1,cord
122,5.08,6770,1.55,countdown
123,5.08,6771,1.1,department's
124,5.08,6772,1.16,districts
125,5.08,6773,0.9,doug
126,5.08,6774,0.9,eric
127,5.08,6775,1.37,eugene
128,5.08,6776,1.5,factory
129,5.08,6777,1.05,falta
130,5.08,6778,2.11,february
131,5.08,6779,1.35,fence
132,5.08,6780,0.88,fui
133,5.08,6781,0.99,gilbert
134,5.08,6782,1.18,hart
135,5.08,6783,1.05,hij
136,5.08,6784,1.61,hun
137,5.08,6785,1.75,indonesia
138,5.08,6786,1.14,jo
139,5.08,6787,1.16,john
140,5.08,6788,1.07,juan
141,5.08,6789,0.7,knee
142,5.08,6790,1.45,laws
143,5.08,6791,1.16,listed
144,5.08,6792,1.31,manhasset
145,5.08,6793,1.05,marion
146,5.08,6794,1.14,martinez
147,5.08,6795,1.86,medicaid
148,5.08,6796,1.69,medicine
149,5.08,6797,1.19,meyer
150,5.08,6798,1.23,might
151,5.08,6799,0.9,morgen
152,5.08,6800,1.28,morris
153,5.08,6801,0.9,nas
154,5.08,6802,1.12,necessarily
155,5.08,6803,1.28,norman
156,5.08,6804,1.01,noted
157,5.08,6805,1.48,occasionally
158,5.08,6806,1.96,ohhh
159,5.08,6807,1.45,ooo
160,5.08,6808,0.94,para
161,5.08,6809,1.69,pls
162,5.08,6810,1.32,quiere
163,5.08,6811,1.51,requirement
164,5.08,6812,1.56,schemes
165,5.08,6813,0.7,scott
166,5.08,6814,0.97,seconds
167,5.08,6815,0.99,sen
168,5.08,6816,1.34,sets
169,5.08,6817,1.44,settle
170,5.08,6818,0.67,seventh
171,5.08,6819,0.9,so
172,5.08,6820,1.38,soledad
173,5.08,6821,1.5,specimens
174,5.08,6822,1.7,squeeze
175,5.08,6823,1.16,steel
176,5.08,6824,1.01,stevens
177,5.08,6825,1.12,stewart
178,5.08,6826,0.99,stick
179,5.08,6827,0.83,suis
180,5.08,6828,1.28,tag
181,5.08,6829,2.08,tattoo
182,5.08,6830,1.26,therefore
183,5.08,6831,1.28,timothy
184,5.08,6832,1.38,told
185,5.08,6833,1.21,transit
186,5.08,6834,1.51,underground
187,5.08,6835,1.38,va
188,5.08,6836,1.78,wanted
189,5.08,6837,1.45,week
190,5.08,6838,1.21,yr
191,5.08,6839,0.83,z
192,5.06,6840,0.94,tiempo
193,5.06,6841,1.31,denn
194,5.06,6842,1.05,km
195,5.06,6843,1.03,komt
196,5.06,6844,0.92,mientras
197,5.06,6845,1.48,swallowed
198,5.06,6846,1.52,todas
199,5.06,6847,1.42,puede
200,5.06,6848,1.04,17th
201,5.06,6849,0.82,19th
202,5.06,6850,0.96,atl
